file	size_bytes	sha256	category
docs/repository_notes.md	1257	6594afef1272d14ce93f232a900c382dd05e46b46c39da4791f3491c9a0339df	documentation
docs/reproducibility_checklist.md	1621	fc97d98b497edc37f924191851264dfab31e8a5c742f0173a7a10ae512489303	documentation
manifest.json	646328	34f2433c7c302bf5fb8caac925d4c44f62d455537e6b79d06eeb606ae5c0b1ce	project_file
new_data_imp_8330_BH_new.rds	1749341	540d39d146ccbd478c5ef21f3a88eadbd2d330a9dbf466d28cb20db26d293b3e	data
new_data_imp_MGH_BH_new.rds	1746009	2944fa59dd06acc50d8698f2a7ba073a1b4734d0de7ca132003ac4feefa51d5a	data
renv.lock	453142	cd1f982277dbd5101e71ab54e98798e223d0cc58b74246bee32e8f1e8c5cb03c	documentation
requirements.txt	104	a8abba1f6619f5dc92f8f9860eb85851f6f081cb9a73b8e24c2bb1c715ae2a23	project_file
secondary_data.RData	55978706	d8e36c168ddf036ff7890243001d5291e99276c65c0e818a8f1275813d0bb47c	data
session_info/detected_package_versions.tsv	554	acde5c88c28e5ad8a60b03bfe5fcbda9ee353341b2894583c442f13100b83e46	documentation
session_info/sessionInfo.txt	694	32f22ed4c43ad2642395dd1d0571f6ff2f354bf25ef5eb1370bbb90653c8f813	documentation
www/mammoth_icon2.png	285811	bb4891f1b6d38173a4c4adbd7b6ff78696d31f333e1b05a8e9f41fc3ad140bcd	static_asset
